well,name,concentration,volume,date
E3,m567_GvpA,35.47,21000,12/11/2025
E4,m567_GvpA,35.47,21000,12/11/2025
E5,m567_GvpA,35.47,21000,12/11/2025
E6,m163_GvpF_50fmol,16.32,21000,12/11/2025
E7,water,1.0,21000,12/11/2025
E8,m164_GvpG_50fmol,17.43,21000,12/11/2025
E9,water,1.0,21000,12/11/2025
E10,m165_GvpJ_50fmol,16.27,21000,12/11/2025
E11,water,1.0,21000,12/11/2025
E12,m166_GvpK_50fmol,17.08,21000,12/11/2025
E13,water,1.0,21000,12/11/2025
E14,m167_GvpN_50fmol,15.33,21000,12/11/2025
E15,water,1.0,21000,12/11/2025
E16,m168_GvpV_50fmol,17.88,23400,12/11/2025
E17,water,1.0,21000,12/11/2025
E18,m169_GvpW_50fmol,16.23,21000,12/11/2025
E19,puc19,59.05,21000,12/11/2025
E20,water,1.0,26200,12/11/2025
E21,water,1.0,31000,12/11/2025
E22,water,1.0,31000,12/11/2025
E23,water,1.0,31000,12/11/2025
E24,water,1.0,31000,12/11/2025
F1,water,1.0,31000,12/11/2025
F2,m567_GvpA,35.47,21000,12/11/2025
F3,m567_GvpA,35.47,21000,12/11/2025
F4,m567_GvpA,35.47,21000,12/11/2025
F5,water,1.0,31000,12/11/2025
F6,m163_GvpF_50fmol,16.32,24800,12/11/2025
F7,water,1.0,31000,12/11/2025
F8,m164_GvpG_50fmol,17.43,24500,12/11/2025
F9,water,1.0,31000,12/11/2025
F10,m165_GvpJ_50fmol,16.27,26200,12/11/2025
F11,water,1.0,31000,12/11/2025
F12,m166_GvpK_50fmol,17.08,29100,12/11/2025
F13,water,1.0,31000,12/11/2025
F14,m167_GvpN_50fmol,15.33,22700,12/11/2025
F15,water,1.0,31000,12/11/2025
F16,m168_GvpV_50fmol,17.88,31000,12/11/2025
F17,water,1.0,31000,12/11/2025
F18,m169_GvpW_50fmol,16.23,26000,12/11/2025
F19,puc19,59.05,21000,12/11/2025
F20,water,1.0,31000,12/11/2025
F21,water,1.0,31000,12/11/2025
F22,water,1.0,31000,12/11/2025
F23,water,1.0,31000,12/11/2025
F24,water,1.0,31000,12/11/2025
G1,water,1.0,31000,12/11/2025
G2,m567_GvpA,35.47,21000,12/11/2025
G3,m567_GvpA,35.47,21000,12/11/2025
G4,m567_GvpA,35.47,21000,12/11/2025
G5,water,1.0,31000,12/11/2025
G6,water,1.0,31000,12/11/2025
G7,water,1.0,31000,12/11/2025
G8,water,1.0,31000,12/11/2025
G9,water,1.0,31000,12/11/2025
G10,water,1.0,31000,12/11/2025
G11,water,1.0,31000,12/11/2025
G12,water,1.0,31000,12/11/2025
G13,water,1.0,31000,12/11/2025
G14,water,1.0,31000,12/11/2025
G15,water,1.0,31000,12/11/2025
G16,water,1.0,31000,12/11/2025
G17,water,1.0,31000,12/11/2025
G18,water,1.0,31000,12/11/2025
G19,puc19,59.05,21000,12/11/2025
G20,water,1.0,31000,12/11/2025
G21,water,1.0,31000,12/11/2025
G22,water,1.0,31000,12/11/2025
G23,water,1.0,31000,12/11/2025
G24,water,1.0,31000,12/11/2025
H1,water,1.0,31000,12/11/2025
H2,m567_GvpA,35.47,21000,12/11/2025
H3,m567_GvpA,35.47,21000,12/11/2025
H4,m567_GvpA,35.47,21000,12/11/2025
H5,water,1.0,31000,12/11/2025
H6,water,1.0,31000,12/11/2025
H7,water,1.0,31000,12/11/2025
H8,water,1.0,31000,12/11/2025
H9,water,1.0,31000,12/11/2025
H10,water,1.0,31000,12/11/2025
H11,water,1.0,31000,12/11/2025
H12,water,1.0,31000,12/11/2025
H13,water,1.0,31000,12/11/2025
H14,water,1.0,31000,12/11/2025
H15,water,1.0,31000,12/11/2025
H16,water,1.0,31000,12/11/2025
H17,water,1.0,31000,12/11/2025
H18,water,1.0,31000,12/11/2025
H19,puc19,59.05,21000,12/11/2025
H20,water,1.0,31000,12/11/2025
H21,water,1.0,31000,12/11/2025
H22,water,1.0,31000,12/11/2025
H23,water,1.0,31000,12/11/2025
H24,water,1.0,31000,12/11/2025
I1,water,1.0,31000,12/11/2025
I2,m567_GvpA,35.47,21000,12/11/2025
I3,m567_GvpA,35.47,21000,12/11/2025
I4,m567_GvpA,35.47,21000,12/11/2025
I5,water,1.0,31000,12/11/2025
I6,water,1.0,31000,12/11/2025
I7,water,1.0,31000,12/11/2025
I8,water,1.0,31000,12/11/2025
I9,water,1.0,31000,12/11/2025
I10,water,1.0,31000,12/11/2025
I11,water,1.0,31000,12/11/2025
I12,water,1.0,31000,12/11/2025
I13,water,1.0,31000,12/11/2025
I14,water,1.0,31000,12/11/2025
I15,water,1.0,31000,12/11/2025
I16,water,1.0,31000,12/11/2025
I17,water,1.0,31000,12/11/2025
I18,water,1.0,31000,12/11/2025
I19,puc19,59.05,21000,12/11/2025
I20,water,1.0,31000,12/11/2025
I21,water,1.0,31000,12/11/2025
I22,water,1.0,31000,12/11/2025
I23,water,1.0,31000,12/11/2025
I24,water,1.0,31000,12/11/2025
J1,water,1.0,31000,12/11/2025
J2,m567_GvpA,35.47,21000,12/11/2025
J3,m567_GvpA,35.47,21000,12/11/2025
J4,m567_GvpA,35.47,21000,12/11/2025
J5,water,1.0,31000,12/11/2025
J6,water,1.0,31000,12/11/2025
J7,water,1.0,31000,12/11/2025
J8,water,1.0,31000,12/11/2025
J9,water,1.0,31000,12/11/2025
J10,water,1.0,31000,12/11/2025
J11,water,1.0,31000,12/11/2025
J12,water,1.0,31000,12/11/2025
J13,water,1.0,31000,12/11/2025
J14,water,1.0,31000,12/11/2025
J15,water,1.0,31000,12/11/2025
J16,water,1.0,31000,12/11/2025
J17,water,1.0,31000,12/11/2025
J18,water,1.0,31000,12/11/2025
J19,puc19,59.05,21000,12/11/2025
J20,water,1.0,31000,12/11/2025
J21,water,1.0,31000,12/11/2025
J22,water,1.0,31000,12/11/2025
J23,water,1.0,31000,12/11/2025
J24,water,1.0,31000,12/11/2025
K1,water,1.0,31000,12/11/2025
K2,m567_GvpA,35.47,21000,12/11/2025
K3,m567_GvpA,35.47,21000,12/11/2025
K4,m567_GvpA,35.47,21000,12/11/2025
K5,water,1.0,31000,12/11/2025
K6,water,1.0,31000,12/11/2025
K7,water,1.0,31000,12/11/2025
K8,water,1.0,31000,12/11/2025
K9,water,1.0,31000,12/11/2025
K10,water,1.0,31000,12/11/2025
K11,water,1.0,31000,12/11/2025
K12,water,1.0,31000,12/11/2025
K13,water,1.0,31000,12/11/2025
K14,water,1.0,31000,12/11/2025
K15,water,1.0,31000,12/11/2025
K16,water,1.0,31000,12/11/2025
K17,water,1.0,31000,12/11/2025
K18,water,1.0,31000,12/11/2025
K19,puc19,59.05,21000,12/11/2025
K20,water,1.0,31000,12/11/2025
K21,water,1.0,31000,12/11/2025
K22,water,1.0,31000,12/11/2025
K23,water,1.0,31000,12/11/2025
K24,water,1.0,31000,12/11/2025
L1,water,1.0,31000,12/11/2025
L2,m567_GvpA,35.47,21000,12/11/2025
L3,m567_GvpA,35.47,21000,12/11/2025
L4,m567_GvpA,35.47,21000,12/11/2025
L5,water,1.0,31000,12/11/2025
L6,water,1.0,31000,12/11/2025
L7,water,1.0,31000,12/11/2025
L8,water,1.0,31000,12/11/2025
L9,water,1.0,31000,12/11/2025
L10,water,1.0,31000,12/11/2025
L11,water,1.0,31000,12/11/2025
L12,water,1.0,31000,12/11/2025
L13,water,1.0,31000,12/11/2025
L14,water,1.0,31000,12/11/2025
L15,water,1.0,31000,12/11/2025
L16,water,1.0,31000,12/11/2025
L17,water,1.0,31000,12/11/2025
L18,water,1.0,31000,12/11/2025
L19,puc19,59.05,21000,12/11/2025
L20,water,1.0,31000,12/11/2025
L21,water,1.0,31000,12/11/2025
L22,water,1.0,31000,12/11/2025
L23,water,1.0,31000,12/11/2025
L24,water,1.0,31000,12/11/2025
M1,water,1.0,31000,12/11/2025
M2,m567_GvpA,35.47,21000,12/11/2025
M3,m567_GvpA,35.47,21000,12/11/2025
M4,m567_GvpA,35.47,21000,12/11/2025
M5,water,1.0,31000,12/11/2025
M6,water,1.0,31000,12/11/2025
M7,water,1.0,31000,12/11/2025
M8,water,1.0,31000,12/11/2025
M9,water,1.0,31000,12/11/2025
M10,water,1.0,31000,12/11/2025
M11,water,1.0,31000,12/11/2025
M12,water,1.0,31000,12/11/2025
M13,water,1.0,31000,12/11/2025
M14,water,1.0,31000,12/11/2025
M15,water,1.0,31000,12/11/2025
M16,water,1.0,31000,12/11/2025
M17,water,1.0,31000,12/11/2025
M18,water,1.0,31000,12/11/2025
M19,puc19,59.05,21000,12/11/2025
M20,water,1.0,31000,12/11/2025
M21,water,1.0,31000,12/11/2025
M22,water,1.0,31000,12/11/2025
M23,water,1.0,31000,12/11/2025
M24,water,1.0,31000,12/11/2025
N1,water,1.0,31000,12/11/2025
N2,m567_GvpA,35.47,21000,12/11/2025
N3,m567_GvpA,35.47,21000,12/11/2025
N4,m567_GvpA,35.47,28000,12/11/2025
N5,water,1.0,31000,12/11/2025
N6,water,1.0,31000,12/11/2025
N7,water,1.0,31000,12/11/2025
N8,water,1.0,31000,12/11/2025
N9,water,1.0,31000,12/11/2025
N10,water,1.0,31000,12/11/2025
N11,water,1.0,31000,12/11/2025
N12,water,1.0,31000,12/11/2025
N13,water,1.0,31000,12/11/2025
N14,water,1.0,31000,12/11/2025
N15,water,1.0,31000,12/11/2025
N16,water,1.0,31000,12/11/2025
N17,water,1.0,31000,12/11/2025
N18,water,1.0,31000,12/11/2025
N19,puc19,59.05,23100,12/11/2025
N20,water,1.0,31000,12/11/2025
N21,water,1.0,31000,12/11/2025
N22,water,1.0,31000,12/11/2025
N23,water,1.0,31000,12/11/2025
N24,water,1.0,31000,12/11/2025
O1,water,1.0,31000,12/11/2025
O2,m567_GvpA,35.47,31000,12/11/2025
O3,m567_GvpA,35.47,31000,12/11/2025
O4,m567_GvpA,35.47,31000,12/11/2025
O5,water,1.0,31000,12/11/2025
O6,water,1.0,31000,12/11/2025
O7,water,1.0,31000,12/11/2025
O8,water,1.0,31000,12/11/2025
O9,water,1.0,31000,12/11/2025
O10,water,1.0,31000,12/11/2025
O11,water,1.0,31000,12/11/2025
O12,water,1.0,31000,12/11/2025
O13,water,1.0,31000,12/11/2025
O14,water,1.0,31000,12/11/2025
O15,water,1.0,31000,12/11/2025
O16,water,1.0,31000,12/11/2025
O17,water,1.0,31000,12/11/2025
O18,water,1.0,31000,12/11/2025
O19,puc19,59.05,31000,12/11/2025
O20,water,1.0,31000,12/11/2025
O21,water,1.0,31000,12/11/2025
O22,water,1.0,31000,12/11/2025
O23,water,1.0,31000,12/11/2025
O24,water,1.0,31000,12/11/2025
P1,water,1.0,31000,12/11/2025
P2,water,1.0,31000,12/11/2025
P3,water,1.0,31000,12/11/2025
P4,water,1.0,31000,12/11/2025
P5,water,1.0,31000,12/11/2025
P6,water,1.0,31000,12/11/2025
P7,water,1.0,31000,12/11/2025
P8,water,1.0,31000,12/11/2025
P9,water,1.0,31000,12/11/2025
P10,water,1.0,31000,12/11/2025
P11,water,1.0,31000,12/11/2025
P12,water,1.0,31000,12/11/2025
P13,water,1.0,31000,12/11/2025
P14,water,1.0,31000,12/11/2025
P15,water,1.0,31000,12/11/2025
P16,water,1.0,31000,12/11/2025
P17,water,1.0,31000,12/11/2025
P18,water,1.0,31000,12/11/2025
P19,water,1.0,31000,12/11/2025
P20,water,1.0,31000,12/11/2025
P21,water,1.0,31000,12/11/2025
P22,water,1.0,31000,12/11/2025
P23,water,1.0,31000,12/11/2025
P24,water,1.0,31000,12/11/2025
