384_id,384_well,96_well,96_plate
76,D4,B2,Plate 4
290,M2,G1,Plate 2
312,M24,G12,Plate 2
17,A17,A9,Plate 1
67,C19,B10,Plate 1
302,M14,G7,Plate 2
8,A8,A4,Plate 2
20,A20,A10,Plate 2
132,F12,C6,Plate 4
341,O5,H3,Plate 1
335,N23,G12,Plate 3
102,E6,C3,Plate 2
173,H5,D3,Plate 3
267,L3,F2,Plate 3
372,P12,H6,Plate 4
286,L22,F11,Plate 4
61,C13,B7,Plate 1
80,D8,B4,Plate 4
338,O2,H1,Plate 2
178,H10,D5,Plate 4
322,N10,G5,Plate 4
149,G5,D3,Plate 1
110,E14,C7,Plate 2
18,A18,A9,Plate 2
174,H6,D3,Plate 4
25,B1,A1,Plate 3
204,I12,E6,Plate 2
337,O1,H1,Plate 1
141,F21,C11,Plate 3
133,F13,C7,Plate 3
254,K14,F7,Plate 2
154,G10,D5,Plate 2
240,J24,E12,Plate 4
249,K9,F5,Plate 1
380,P20,H10,Plate 4
209,I17,E9,Plate 1
228,J12,E6,Plate 4
339,O3,H2,Plate 1
169,H1,D1,Plate 3
281,L17,F9,Plate 3
120,E24,C12,Plate 2
183,H15,D8,Plate 3
193,I1,E1,Plate 1
364,P4,H2,Plate 4
164,G20,D10,Plate 2
367,P7,H4,Plate 3
37,B13,A7,Plate 3
371,P11,H6,Plate 3
212,I20,E10,Plate 2
358,O22,H11,Plate 2
275,L11,F6,Plate 3
60,C12,B6,Plate 2
112,E16,C8,Plate 2
156,G12,D6,Plate 2
7,A7,A4,Plate 1
362,P2,H1,Plate 4
330,N18,G9,Plate 4
11,A11,A6,Plate 1
181,H13,D7,Plate 3
104,E8,C4,Plate 2
82,D10,B5,Plate 4
195,I3,E2,Plate 1
273,L9,F5,Plate 3
197,I5,E3,Plate 1
336,N24,G12,Plate 4
158,G14,D7,Plate 2
299,M11,G6,Plate 1
90,D18,B9,Plate 4
283,L19,F10,Plate 3
148,G4,D2,Plate 2
278,L14,F7,Plate 4
93,D21,B11,Plate 3
70,C22,B11,Plate 2
124,F4,C2,Plate 4
97,E1,C1,Plate 1
144,F24,C12,Plate 4
292,M4,G2,Plate 2
98,E2,C1,Plate 2
282,L18,F9,Plate 4
69,C21,B11,Plate 1
24,A24,A12,Plate 2
38,B14,A7,Plate 4
145,G1,D1,Plate 1
123,F3,C2,Plate 3
68,C20,B10,Plate 2
383,P23,H12,Plate 3
203,I11,E6,Plate 1
266,L2,F1,Plate 4
305,M17,G9,Plate 1
379,P19,H10,Plate 3
126,F6,C3,Plate 4
147,G3,D2,Plate 1
223,J7,E4,Plate 3
87,D15,B8,Plate 3
324,N12,G6,Plate 4
194,I2,E1,Plate 2
325,N13,G7,Plate 3
220,J4,E2,Plate 4
245,K5,F3,Plate 1
291,M3,G2,Plate 1
184,H16,D8,Plate 4
363,P3,H2,Plate 3
272,L8,F4,Plate 4
308,M20,G10,Plate 2
313,N1,G1,Plate 3
130,F10,C5,Plate 4
39,B15,A8,Plate 3
12,A12,A6,Plate 2
259,K19,F10,Plate 1
186,H18,D9,Plate 4
210,I18,E9,Plate 2
113,E17,C9,Plate 1
180,H12,D6,Plate 4
366,P6,H3,Plate 4
247,K7,F4,Plate 1
118,E22,C11,Plate 2
354,O18,H9,Plate 2
370,P10,H5,Plate 4
276,L12,F6,Plate 4
348,O12,H6,Plate 2
165,G21,D11,Plate 1
238,J22,E11,Plate 4
137,F17,C9,Plate 3
155,G11,D6,Plate 1
200,I8,E4,Plate 2
198,I6,E3,Plate 2
377,P17,H9,Plate 3
3,A3,A2,Plate 1
205,I13,E7,Plate 1
116,E20,C10,Plate 2
315,N3,G2,Plate 3
224,J8,E4,Plate 4
27,B3,A2,Plate 3
121,F1,C1,Plate 3
295,M7,G4,Plate 1
256,K16,F8,Plate 2
303,M15,G8,Plate 1
374,P14,H7,Plate 4
128,F8,C4,Plate 4
75,D3,B2,Plate 3
321,N9,G5,Plate 3
30,B6,A3,Plate 4
84,D12,B6,Plate 4
318,N6,G3,Plate 4
108,E12,C6,Plate 2
235,J19,E10,Plate 3
334,N22,G11,Plate 4
134,F14,C7,Plate 4
185,H17,D9,Plate 3
279,L15,F8,Plate 3
45,B21,A11,Plate 3
353,O17,H9,Plate 1
66,C18,B9,Plate 2
285,L21,F11,Plate 3
86,D14,B7,Plate 4
243,K3,F2,Plate 1
187,H19,D10,Plate 3
71,C23,B12,Plate 1
160,G16,D8,Plate 2
13,A13,A7,Plate 1
36,B12,A6,Plate 4
29,B5,A3,Plate 3
171,H3,D2,Plate 3
143,F23,C12,Plate 3
306,M18,G9,Plate 2
288,L24,F12,Plate 4
151,G7,D4,Plate 1
229,J13,E7,Plate 3
222,J6,E3,Plate 4
96,D24,B12,Plate 4
52,C4,B2,Plate 2
241,K1,F1,Plate 1
287,L23,F12,Plate 3
293,M5,G3,Plate 1
179,H11,D6,Plate 3
42,B18,A9,Plate 4
298,M10,G5,Plate 2
207,I15,E8,Plate 1
255,K15,F8,Plate 1
319,N7,G4,Plate 3
5,A5,A3,Plate 1
257,K17,F9,Plate 1
365,P5,H3,Plate 3
101,E5,C3,Plate 1
227,J11,E6,Plate 3
340,O4,H2,Plate 2
214,I22,E11,Plate 2
172,H4,D2,Plate 4
99,E3,C2,Plate 1
216,I24,E12,Plate 2
62,C14,B7,Plate 2
48,B24,A12,Plate 4
33,B9,A5,Plate 3
268,L4,F2,Plate 4
201,I9,E5,Plate 1
342,O6,H3,Plate 2
28,B4,A2,Plate 4
300,M12,G6,Plate 2
231,J15,E8,Plate 3
261,K21,F11,Plate 1
289,M1,G1,Plate 1
163,G19,D10,Plate 1
327,N15,G8,Plate 3
139,F19,C10,Plate 3
63,C15,B8,Plate 1
136,F16,C8,Plate 4
129,F9,C5,Plate 3
9,A9,A5,Plate 1
65,C17,B9,Plate 1
15,A15,A8,Plate 1
157,G13,D7,Plate 1
41,B17,A9,Plate 3
352,O16,H8,Plate 2
311,M23,G12,Plate 1
217,J1,E1,Plate 3
280,L16,F8,Plate 4
332,N20,G10,Plate 4
237,J21,E11,Plate 3
208,I16,E8,Plate 2
213,I21,E11,Plate 1
296,M8,G4,Plate 2
350,O14,H7,Plate 2
252,K12,F6,Plate 2
375,P15,H8,Plate 3
351,O15,H8,Plate 1
304,M16,G8,Plate 2
270,L6,F3,Plate 4
202,I10,E5,Plate 2
162,G18,D9,Plate 2
44,B20,A10,Plate 4
218,J2,E1,Plate 4
191,H23,D12,Plate 3
310,M22,G11,Plate 2
260,K20,F10,Plate 2
106,E10,C5,Plate 2
54,C6,B3,Plate 2
2,A2,A1,Plate 2
50,C2,B1,Plate 2
81,D9,B5,Plate 3
206,I14,E7,Plate 2
35,B11,A6,Plate 3
264,K24,F12,Plate 2
92,D20,B10,Plate 4
53,C5,B3,Plate 1
265,L1,F1,Plate 3
242,K2,F1,Plate 2
14,A14,A7,Plate 2
316,N4,G2,Plate 4
89,D17,B9,Plate 3
274,L10,F5,Plate 4
167,G23,D12,Plate 1
329,N17,G9,Plate 3
378,P18,H9,Plate 4
135,F15,C8,Plate 3
307,M19,G10,Plate 1
369,P9,H5,Plate 3
320,N8,G4,Plate 4
244,K4,F2,Plate 2
55,C7,B4,Plate 1
51,C3,B2,Plate 1
175,H7,D4,Plate 3
190,H22,D11,Plate 4
382,P22,H11,Plate 4
188,H20,D10,Plate 4
170,H2,D1,Plate 4
59,C11,B6,Plate 1
49,C1,B1,Plate 1
345,O9,H5,Plate 1
236,J20,E10,Plate 4
253,K13,F7,Plate 1
22,A22,A11,Plate 2
314,N2,G1,Plate 4
161,G17,D9,Plate 1
277,L13,F7,Plate 3
192,H24,D12,Plate 4
294,M6,G3,Plate 2
344,O8,H4,Plate 2
258,K18,F9,Plate 2
309,M21,G11,Plate 1
150,G6,D3,Plate 2
131,F11,C6,Plate 3
152,G8,D4,Plate 2
360,O24,H12,Plate 2
100,E4,C2,Plate 2
88,D16,B8,Plate 4
331,N19,G10,Plate 3
215,I23,E12,Plate 1
122,F2,C1,Plate 4
384,P24,H12,Plate 4
21,A21,A11,Plate 1
189,H21,D11,Plate 3
72,C24,B12,Plate 2
107,E11,C6,Plate 1
271,L7,F4,Plate 3
349,O13,H7,Plate 1
103,E7,C4,Plate 1
